sensor_id,timestamp,nh3,h2s,voc,no2,health_environment
3,2025-01-01T00:00:00,7.43,0.009,381.0,47.84,Stinky
3,2025-01-01T00:01:00,4.61,0.009,386.05,153.79,Fresh
3,2025-01-01T00:02:00,3.87,0.0022,419.19,153.79,Noticeable
3,2025-01-01T00:03:00,9.02,0.0056,246.11,38.85,Stinky
3,2025-01-01T00:04:00,7.53,0.0002,450.55,288.98,Stinky
3,2025-01-01T00:05:00,8.53,0.003,83.21,27.35,Noticeable
3,2025-01-01T00:06:00,4.17,0.0017,359.96,266.92,Noticeable
3,2025-01-01T00:07:00,9.54,0.0061,77.47,140.12,Fresh
3,2025-01-01T00:08:00,4.46,0.0081,150.23,42.21,Noticeable
3,2025-01-01T00:09:00,0.95,0.0024,370.81,153.79,Stinky
3,2025-01-01T00:10:00,5.1,0.0038,367.17,275.35,Noticeable
3,2025-01-01T00:11:00,5.57,0.0066,163.42,180.05,Fresh
3,2025-01-01T00:12:00,0.95,0.0052,282.33,262.9,Fresh
3,2025-01-01T00:13:00,8.94,0.0003,244.59,220.67,Fresh
3,2025-01-01T00:14:00,8.35,0.0086,324.56,33.14,Fresh
3,2025-01-01T00:15:00,8.83,0.0043,334.85,4.0,Noticeable
3,2025-01-01T00:16:00,2.17,0.0063,116.46,153.79,Noticeable
3,2025-01-01T00:17:00,4.45,0.0032,450.02,153.79,Stinky
3,2025-01-01T00:18:00,6.37,0.0097,312.0,153.79,Stinky
3,2025-01-01T00:19:00,9.0,0.0015,83.19,256.39,Stinky
3,2025-01-01T00:20:00,7.26,0.0026,240.84,239.77,Stinky
3,2025-01-01T00:21:00,2.58,0.0021,502.98,176.87,Noticeable
3,2025-01-01T00:22:00,4.12,0.001,367.87,274.97,Stinky
3,2025-01-01T00:23:00,9.52,0.0024,206.86,153.79,Fresh
3,2025-01-01T00:24:00,6.39,0.007,540.9,145.76,Fresh
3,2025-01-01T00:25:00,6.56,0.0026,324.24,192.89,Stinky
3,2025-01-01T00:26:00,3.08,0.009,288.3,95.78,Stinky
3,2025-01-01T00:27:00,1.59,0.0054,502.25,30.79,Stinky
3,2025-01-01T00:28:00,9.63,0.0094,439.26,153.79,Fresh
3,2025-01-01T00:29:00,5.49,0.0052,54.55,101.24,Stinky
3,2025-01-01T00:30:00,0.72,0.0022,312.11,196.51,Stinky
3,2025-01-01T00:31:00,0.28,0.0093,315.49,212.06,Fresh
3,2025-01-01T00:32:00,6.77,0.0051,590.66,214.68,Noticeable
3,2025-01-01T00:33:00,0.8,0.0021,199.56,153.79,Noticeable
3,2025-01-01T00:34:00,4.27,0.0078,230.62,291.12,Stinky
3,2025-01-01T00:35:00,6.96,0.0059,75.15,106.09,Noticeable
